2015/03/02 02:59:31.819 W M,2015,03,02,03,00,19,44342,41606,405.47,40.3,8.115,18.440,989,40.1,40.6,11.7
2015/03/02 02:59:33.419 W M,2015,03,02,03,00,20,44342,41606,405.46,40.3,8.115,18.440,989,40.1,40.6,11.7
2015/03/02 02:59:35.020 W M,2015,03,02,03,00,22,44342,41605,405.50,40.3,8.137,18.480,989,40.2,40.6,11.7
2015/03/02 02:59:36.631 W M,2015,03,02,03,00,24,44342,41606,405.49,40.3,8.022,18.480,989,40.1,40.6,11.7
2015/03/02 02:59:36.686 A M,2015,03,02,02,53,37,44342,41591,402.71,40.3,8.129,17.840,998,40.1,40.5,11.7
2015/03/02 02:59:36.720 A M,2015,03,02,02,53,39,44342,41591,402.69,40.3,8.129,17.840,998,40.1,40.6,11.7
2015/03/02 02:59:36.761 A M,2015,03,02,02,53,40,44342,41590,402.72,40.3,8.129,17.840,998,40.1,40.6,11.7
2015/03/02 02:59:36.802 A M,2015,03,02,02,53,42,44342,41591,402.69,40.3,8.129,17.840,998,40.1,40.6,11.7
2015/03/02 02:59:36.843 A M,2015,03,02,02,53,43,44342,41590,402.71,40.3,8.129,17.840,998,40.1,40.6,11.7
2015/03/02 02:59:36.884 A M,2015,03,02,02,53,45,44342,41589,402.78,40.3,8.021,17.840,998,40.1,40.7,11.7
2015/03/02 02:59:36.925 A M,2015,03,02,02,53,47,44342,41591,402.74,40.3,8.129,17.840,998,40.1,40.6,11.7
2015/03/02 02:59:36.966 A M,2015,03,02,02,53,48,44342,41592,402.66,40.3,8.129,17.840,998,40.1,40.5,11.7
2015/03/02 02:59:37.007 A M,2015,03,02,02,53,50,44342,41592,402.62,40.3,8.151,17.880,998,40.1,40.6,11.7
2015/03/02 03:59:24.408 W M,2015,03,02,04,00,11,44342,41612,404.61,40.3,7.774,18.000,988,40.1,40.6,11.7
2015/03/02 03:59:25.342 W M,2015,03,02,04,00,12,44342,41612,404.58,40.3,7.795,18.040,988,40.1,40.6,11.7
2015/03/02 03:59:26.943 W M,2015,03,02,04,00,14,44342,41612,404.56,40.3,7.795,18.040,988,40.1,40.6,11.7
2015/03/02 03:59:28.543 W M,2015,03,02,04,00,16,44342,41613,404.50,40.3,7.795,18.040,988,40.1,40.5,11.7
2015/03/02 03:59:30.144 W M,2015,03,02,04,00,17,44342,41611,404.55,40.3,7.795,18.040,988,40.1,40.6,11.7
2015/03/02 03:59:31.745 W M,2015,03,02,04,00,19,44342,41610,404.63,40.3,7.795,18.040,988,40.1,40.6,11.7
2015/03/02 03:59:33.345 W M,2015,03,02,04,00,20,44342,41611,404.65,40.3,7.795,18.040,988,40.2,40.6,11.7
2015/03/02 03:59:34.946 W M,2015,03,02,04,00,22,44342,41611,404.66,40.3,7.815,18.080,988,40.1,40.5,11.7
2015/03/02 03:59:36.547 W M,2015,03,02,04,00,24,44342,41611,404.67,40.3,7.815,18.080,988,40.1,40.6,11.7
2015/03/02 03:59:36.595 A M,2015,03,02,03,53,37,44342,41592,402.70,40.4,7.792,17.400,998,40.2,40.6,11.7
2015/03/02 03:59:36.636 A M,2015,03,02,03,53,39,44342,41592,402.68,40.4,7.771,17.360,998,40.1,40.6,11.7
2015/03/02 03:59:36.677 A M,2015,03,02,03,53,40,44342,41592,402.66,40.4,7.792,17.400,998,40.1,40.6,11.7
2015/03/02 03:59:36.718 A M,2015,03,02,03,53,42,44342,41595,402.51,40.3,7.792,17.400,998,40.0,40.5,11.7
2015/03/02 03:59:36.759 A M,2015,03,02,03,53,43,44342,41598,402.27,40.3,7.792,17.400,998,40.1,40.7,11.7
2015/03/02 03:59:36.800 A M,2015,03,02,03,53,45,44342,41598,402.10,40.3,7.792,17.400,998,40.0,40.6,11.7
2015/03/02 03:59:36.841 A M,2015,03,02,03,53,47,44342,41599,401.94,40.4,7.792,17.400,998,40.1,40.6,11.7
2015/03/02 03:59:36.882 A M,2015,03,02,03,53,48,44342,41598,401.85,40.3,7.792,17.400,998,40.1,40.6,11.7
2015/03/02 03:59:36.923 A M,2015,03,02,03,53,50,44342,41599,401.73,40.4,7.792,17.400,998,40.1,40.6,11.7
2015/03/02 04:59:24.335 W M,2015,03,02,05,00,11,44342,41593,407.70,40.3,7.774,18.000,989,40.1,40.6,11.7
2015/03/02 04:59:25.351 W M,2015,03,02,05,00,13,44342,41593,407.69,40.3,7.754,17.960,989,40.0,40.6,11.7
2015/03/02 04:59:26.951 W M,2015,03,02,05,00,14,44342,41592,407.73,40.3,7.774,18.000,989,40.1,40.6,11.7
2015/03/02 04:59:28.552 W M,2015,03,02,05,00,16,44342,41592,407.76,40.3,7.774,18.000,989,40.1,40.5,11.7
2015/03/02 04:59:30.153 W M,2015,03,02,05,00,17,44342,41591,407.83,40.3,7.774,18.000,989,40.1,40.5,11.7
2015/03/02 04:59:31.764 W M,2015,03,02,05,00,19,44342,41592,407.83,40.3,7.774,18.000,989,40.1,40.5,11.7
2015/03/02 04:59:33.354 W M,2015,03,02,05,00,21,44342,41593,407.79,40.3,7.774,18.000,989,40.1,40.6,11.7
2015/03/02 04:59:34.954 W M,2015,03,02,05,00,22,44342,41594,407.72,40.3,7.774,18.000,989,40.1,40.6,11.7
2015/03/02 04:59:36.555 W M,2015,03,02,05,00,24,44342,41595,407.61,40.3,7.774,18.000,989,40.1,40.6,11.7
2015/03/02 04:59:36.603 A M,2015,03,02,04,53,36,44342,41589,402.35,40.4,7.626,17.280,998,40.2,40.6,11.7
2015/03/02 04:59:36.645 A M,2015,03,02,04,53,37,44342,41591,402.42,40.4,7.626,17.280,998,40.1,40.6,11.7
2015/03/02 04:59:36.685 A M,2015,03,02,04,53,39,44342,41591,402.47,40.4,7.626,17.280,998,40.1,40.6,11.7
2015/03/02 04:59:36.727 A M,2015,03,02,04,53,40,44342,41592,402.46,40.3,7.626,17.280,998,40.1,40.6,11.7
2015/03/02 04:59:36.768 A M,2015,03,02,04,53,42,44342,41592,402.47,40.3,7.540,17.320,998,40.0,40.6,11.7
2015/03/02 04:59:36.809 A M,2015,03,02,04,53,44,44342,41592,402.46,40.3,7.626,17.280,998,40.1,40.6,11.7
2015/03/02 04:59:36.850 A M,2015,03,02,04,53,45,44342,41593,402.42,40.3,7.520,17.280,998,40.1,40.6,11.7
2015/03/02 04:59:36.891 A M,2015,03,02,04,53,47,44342,41592,402.44,40.3,7.560,17.360,998,40.1,40.6,11.7
2015/03/02 04:59:36.932 A M,2015,03,02,04,53,48,44342,41593,402.39,40.3,7.646,17.320,998,40.1,40.6,11.7
2015/03/02 05:59:24.272 W M,2015,03,02,06,00,11,44342,41574,410.41,40.3,7.734,17.920,990,40.2,40.5,11.7
2015/03/02 05:59:25.199 W M,2015,03,02,06,00,12,44342,41575,410.35,40.3,7.734,17.920,990,40.2,40.6,11.7
2015/03/02 05:59:26.797 W M,2015,03,02,06,00,14,44342,41573,410.39,40.3,7.734,17.920,990,40.0,40.5,11.7
2015/03/02 05:59:28.397 W M,2015,03,02,06,00,16,44342,41574,410.38,40.3,7.734,17.920,990,40.0,40.5,11.7
2015/03/02 05:59:29.998 W M,2015,03,02,06,00,17,44342,41573,410.41,40.3,7.734,17.920,990,40.1,40.6,11.7
2015/03/02 05:59:31.599 W M,2015,03,02,06,00,19,44342,41574,410.39,40.3,7.734,17.920,990,40.1,40.6,11.7
2015/03/02 05:59:33.199 W M,2015,03,02,06,00,20,44342,41575,410.34,40.3,7.734,17.920,990,40.1,40.5,11.7
2015/03/02 05:59:34.810 W M,2015,03,02,06,00,22,44342,41575,410.29,40.3,7.734,17.920,990,40.1,40.6,11.7
2015/03/02 05:59:36.401 W M,2015,03,02,06,00,24,44342,41575,410.26,40.3,7.734,17.920,990,40.1,40.5,11.7
2015/03/02 05:59:36.449 A M,2015,03,02,05,53,37,44342,41582,403.17,40.3,7.710,17.240,998,40.0,40.5,11.7
2015/03/02 05:59:36.492 A M,2015,03,02,05,53,39,44342,41582,403.43,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 05:59:36.535 A M,2015,03,02,05,53,40,44342,41585,403.48,40.3,7.710,17.240,998,40.1,40.5,11.7
2015/03/02 05:59:36.572 A M,2015,03,02,05,53,42,44342,41585,403.52,40.3,7.710,17.240,998,40.0,40.7,11.7
2015/03/02 05:59:36.613 A M,2015,03,02,05,53,43,44342,41586,403.51,40.3,7.710,17.240,998,40.1,40.7,11.7
2015/03/02 05:59:36.654 A M,2015,03,02,05,53,45,44342,41586,403.50,40.3,7.710,17.240,998,40.1,40.6,11.7
2015/03/02 05:59:36.695 A M,2015,03,02,05,53,47,44342,41585,403.53,40.3,7.710,17.240,998,40.1,40.6,11.7
2015/03/02 05:59:36.736 A M,2015,03,02,05,53,48,44342,41584,403.61,40.4,7.710,17.240,998,40.1,40.7,11.7
2015/03/02 05:59:36.777 A M,2015,03,02,05,53,50,44342,41583,403.71,40.4,7.731,17.280,998,40.2,40.6,11.7
2015/03/02 06:59:24.188 W M,2015,03,02,07,00,11,44342,41586,408.06,40.3,7.823,17.880,990,40.1,40.5,11.7
2015/03/02 06:59:25.210 W M,2015,03,02,07,00,13,44342,41587,408.03,40.3,7.823,17.880,990,40.1,40.5,11.7
2015/03/02 06:59:26.822 W M,2015,03,02,07,00,14,44342,41588,407.97,40.3,7.823,17.880,990,40.1,40.6,11.7
2015/03/02 06:59:28.418 W M,2015,03,02,07,00,16,44342,41588,407.92,40.3,7.803,17.840,990,40.0,40.6,11.7
2015/03/02 06:59:30.012 W M,2015,03,02,07,00,17,44342,41588,407.88,40.3,7.823,17.880,990,40.2,40.6,11.7
2015/03/02 06:59:31.613 W M,2015,03,02,07,00,19,44342,41586,407.95,40.3,7.823,17.880,990,40.1,40.6,11.7
2015/03/02 06:59:33.214 W M,2015,03,02,07,00,21,44342,41586,408.00,40.3,7.803,17.840,990,40.1,40.6,11.7
2015/03/02 06:59:34.814 W M,2015,03,02,07,00,22,44342,41587,407.99,40.3,7.713,17.880,990,40.1,40.5,11.7
2015/03/02 06:59:36.415 W M,2015,03,02,07,00,24,44342,41586,408.03,40.3,7.823,17.880,990,40.1,40.6,11.7
2015/03/02 06:59:36.463 A M,2015,03,02,06,53,36,44342,41580,404.52,40.3,7.690,17.200,998,40.0,40.6,11.7
2015/03/02 06:59:36.504 A M,2015,03,02,06,53,37,44342,41577,404.68,40.3,7.690,17.200,998,40.0,40.5,11.7
2015/03/02 06:59:36.545 A M,2015,03,02,06,53,39,44342,41574,404.94,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 06:59:36.586 A M,2015,03,02,06,53,40,44342,41576,405.05,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 06:59:36.627 A M,2015,03,02,06,53,42,44342,41577,405.07,40.3,7.690,17.200,998,40.0,40.6,11.7
2015/03/02 06:59:36.668 A M,2015,03,02,06,53,44,44342,41577,405.10,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 06:59:36.709 A M,2015,03,02,06,53,45,44342,41577,405.12,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 06:59:36.751 A M,2015,03,02,06,53,47,44342,41574,405.27,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 06:59:36.792 A M,2015,03,02,06,53,48,44342,41568,405.66,40.3,7.690,17.200,998,40.1,40.6,11.7
2015/03/02 07:59:24.115 W M,2015,03,02,08,00,11,44342,41597,406.45,40.3,7.782,17.800,990,40.1,40.6,11.7
2015/03/02 07:59:25.045 W M,2015,03,02,08,00,12,44342,41597,406.44,40.3,7.762,17.760,990,40.1,40.5,11.7
2015/03/02 07:59:26.645 W M,2015,03,02,08,00,14,44342,41598,406.39,40.3,7.782,17.800,990,40.1,40.6,11.7
