
 subsite  | node  | sensor       | bin        | method    | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | conductivity | date_time_string | dcl_controller_timestamp | pressure | temp
----------+-------+--------------+------------+-----------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+--------------+------------------+--------------------------+----------+---------
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628197021.8649997711 |          1 |         3628197017 | 3628197021.8649997711 |      port_timestamp |           ok |       3.1879 |             null |                     null |    1.185 | 11.5937
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628200622.6919999123 |          1 |         3628200618 | 3628200622.6919999123 |      port_timestamp |           ok |      3.18868 |             null |                     null |    1.172 | 11.5915
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628204223.4349999428 |          1 |         3628204219 | 3628204223.4349999428 |      port_timestamp |           ok |      3.18906 |             null |                     null |    1.291 | 11.5895
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628207823.4639997482 |          1 |         3628207819 | 3628207823.4639997482 |      port_timestamp |           ok |      3.18834 |             null |                     null |    1.302 | 11.5835
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628211423.0760002136 |          1 |         3628211418 | 3628211423.0760002136 |      port_timestamp |           ok |      3.18242 |             null |                     null |    1.328 | 11.5752
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628215022.3150000572 |          1 |         3628215018 | 3628215022.3150000572 |      port_timestamp |           ok |      3.17101 |             null |                     null |    1.472 | 11.5476
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628218622.4230003357 |          1 |         3628218618 | 3628218622.4230003357 |      port_timestamp |           ok |      3.16126 |             null |                     null |    1.684 | 11.5325
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628222222.3559999466 |          1 |         3628222218 | 3628222222.3559999466 |      port_timestamp |           ok |       3.1631 |             null |                     null |    1.865 | 11.5302
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628225823.1800003052 |          1 |         3628225819 | 3628225823.1800003052 |      port_timestamp |           ok |      3.16751 |             null |                     null |    1.893 | 11.5311
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628229423.9709997177 |          1 |         3628229419 | 3628229423.9709997177 |      port_timestamp |           ok |      3.17042 |             null |                     null |     1.73 | 11.5226
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628233023.4289999008 |          1 |         3628233019 | 3628233023.4289999008 |      port_timestamp |           ok |      3.17789 |             null |                     null |    1.895 | 11.5159
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628236623.2670001984 |          1 |         3628236619 | 3628236623.2670001984 |      port_timestamp |           ok |      3.20941 |             null |                     null |    1.948 | 11.5721
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628240222.8210000992 |          1 |         3628240218 | 3628240222.8210000992 |      port_timestamp |           ok |       3.1444 |             null |                     null |      2.2 | 11.4862
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628243822.9930000305 |          1 |         3628243818 | 3628243822.9930000305 |      port_timestamp |           ok |      3.10601 |             null |                     null |    3.398 | 11.3847
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered |        3628247421.625 |          1 |         3628247417 |        3628247421.625 |      port_timestamp |           ok |      3.10769 |             null |                     null |    2.778 | 11.3664
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628251023.9000000954 |          1 |         3628251019 | 3628251023.9000000954 |      port_timestamp |           ok |      3.10651 |             null |                     null |    3.498 |  11.375
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628254622.1029996872 |          1 |         3628254617 | 3628254622.1029996872 |      port_timestamp |           ok |      3.10286 |             null |                     null |    3.291 | 11.3181
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered |          3628258223.5 |          1 |         3628258219 |          3628258223.5 |      port_timestamp |           ok |      3.10938 |             null |                     null |    3.386 | 11.3567
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628261821.1770000458 |          1 |         3628261817 | 3628261821.1770000458 |      port_timestamp |           ok |       3.1116 |             null |                     null |    3.413 | 11.3772
 CE06ISSM | SBD17 | 06-CTDBPC000 | 3628195200 | recovered | 3628265422.4260001183 |          1 |         3628265418 | 3628265422.4260001183 |      port_timestamp |           ok |      3.08907 |             null |                     null |    3.306 | 11.2808
