Source File: C:\Users\ooiuser\Documents\uCSPP\CE01ISSP\2015_08\R00004\raw\32260420.PPB
Processed: 10/22/2015 07:28:46
Using Version: 1.11
Device: OPT
Start Date: 08/14/2015
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Data
1439514371.059	9.675	y	4831	353	309.110	89.850	11.052	33.262	33.262	41.538	8.276	711.8	734.8	403.8
1439514372.059	9.475	y	4831	353	309.184	89.927	11.078	33.246	33.246	41.520	8.274	711.2	734.6	403.0
1439514373.059	9.262	n	4831	353	309.324	90.032	11.109	33.224	33.224	41.500	8.276	710.6	734.3	402.0
1439514374.059	9.046	y	4831	353	310.398	90.391	11.131	33.171	33.171	41.446	8.275	709.1	734.2	401.3
1439514375.062	8.821	n	4831	353	310.677	90.517	11.152	33.150	33.150	41.427	8.278	708.6	734.0	400.6
1439514376.059	8.606	y	4831	353	311.183	90.707	11.173	33.120	33.120	41.397	8.278	707.6	733.7	399.9
1439514377.060	8.389	n	4831	353	311.582	90.836	11.179	33.101	33.101	41.382	8.281	707.2	733.5	399.7
1439514378.060	8.188	y	4831	353	311.631	90.860	11.184	33.097	33.097	41.375	8.278	706.9	733.2	399.6
1439514379.058	7.992	y	4831	353	312.400	91.087	11.185	33.066	33.066	41.347	8.281	706.2	733.0	399.6
1439514380.059	7.781	n	4831	353	312.564	91.140	11.187	33.059	33.059	41.339	8.280	705.8	732.7	399.5
1439514381.059	7.545	n	4831	353	313.036	91.277	11.187	33.041	33.041	41.323	8.283	705.4	732.5	399.5
1439514382.058	7.291	y	4831	353	313.532	91.401	11.177	33.026	33.026	41.309	8.282	704.9	732.2	399.8
1439514383.057	7.078	y	4831	353	314.155	91.582	11.177	33.003	33.003	41.287	8.284	704.4	732.0	399.8
1439514384.059	6.862	n	4831	353	314.512	91.700	11.184	32.986	32.986	41.271	8.286	703.8	731.8	399.6
1439514385.060	6.662	n	4831	353	314.924	91.831	11.189	32.967	32.967	41.252	8.285	703.3	731.5	399.4
1439514386.058	6.491	y	4831	353	315.583	92.031	11.193	32.940	32.940	41.225	8.285	702.5	731.4	399.3
1439514387.059	6.329	y	4831	353	316.719	92.399	11.210	32.888	32.888	41.176	8.288	701.2	731.2	398.8
1439514388.059	6.171	y	4831	353	320.872	93.734	11.267	32.703	32.703	40.990	8.287	696.0	731.0	396.9
1439514389.059	5.984	n	4831	353	319.533	93.729	11.446	32.664	32.664	40.951	8.287	694.7	730.8	391.1
1439514390.059	5.734	y	4831	353	319.753	93.885	11.488	32.634	32.634	40.923	8.288	693.8	730.5	389.8
1439514391.058	5.461	y	4831	353	319.958	93.981	11.505	32.618	32.618	40.906	8.288	693.5	730.3	389.3
1439514392.058	5.220	n	4831	353	321.639	94.574	11.551	32.533	32.533	40.823	8.291	691.2	730.1	387.8
1439514393.059	5.021	n	4831	353	322.540	95.142	11.690	32.431	32.431	40.722	8.291	688.3	729.9	383.3
1439514394.058	4.845	y	4831	353	322.252	95.210	11.760	32.406	32.406	40.697	8.290	687.6	729.7	381.0
1439514395.060	4.687	y	4831	353	323.798	95.670	11.762	32.349	32.349	40.639	8.290	685.9	729.4	381.0
1439514396.059	4.508	n	4831	353	324.047	95.713	11.748	32.346	32.346	40.638	8.292	685.8	729.2	381.4
1439514397.059	4.313	y	4831	353	324.841	95.905	11.728	32.326	32.326	40.618	8.292	685.3	729.0	382.1
1439514398.059	4.108	n	4831	353	326.074	96.214	11.704	32.293	32.293	40.585	8.292	684.4	728.8	382.9
1439514399.061	3.899	y	4831	353	329.703	97.377	11.745	32.141	32.141	40.435	8.294	680.0	728.6	381.5
1439514400.057	3.737	y	4831	353	329.133	97.526	11.887	32.092	32.092	40.384	8.293	678.6	728.4	376.9
1439514401.058	3.596	y	4831	353	332.403	98.764	12.007	31.916	31.916	40.209	8.293	673.6	728.2	373.1
1439514402.060	3.465	n	4831	353	330.719	98.426	12.080	31.941	31.941	40.235	8.294	674.4	727.9	370.7
1439514403.058	3.333	n	4831	353	331.422	98.711	12.114	31.899	31.899	40.194	8.295	673.1	727.7	369.6
1439514404.058	3.211	y	4831	353	331.970	98.860	12.107	31.883	31.883	40.177	8.295	672.7	727.4	369.8
1439514405.059	3.088	y	4831	353	334.034	99.433	12.089	31.818	31.818	40.111	8.293	670.6	727.1	370.4
1439514406.057	2.934	n	4831	353	334.574	99.692	12.132	31.778	31.778	40.073	8.295	669.6	727.0	369.0
1439514407.057	2.734	n	4831	353	334.273	99.914	12.270	31.722	31.722	40.019	8.298	667.9	726.7	364.6
1439514408.057	2.532	y	4831	353	335.304	100.503	12.393	31.626	31.626	39.922	8.297	665.1	726.4	360.6
1439514409.057	2.348	n	4831	353	335.224	100.667	12.476	31.589	31.589	39.886	8.297	664.1	726.1	357.9
1439514410.057	2.170	n	4831	353	335.939	101.009	12.532	31.537	31.537	39.833	8.296	662.6	725.8	356.1
1439514411.057	1.991	n	4831	353	337.361	101.398	12.515	31.495	31.495	39.793	8.298	661.5	725.5	356.6
1439514412.058	1.841	y	4831	353	338.945	101.840	12.501	31.447	31.447	39.746	8.299	660.3	725.3	357.1
1439514413.058	1.718	y	4831	353	340.627	102.358	12.506	31.386	31.386	39.686	8.299	658.5	724.9	356.9
1439514414.059	1.600	n	4831	353	342.080	102.845	12.528	31.326	31.326	39.625	8.299	656.6	724.6	356.2
1439514415.057	1.468	n	4831	353	342.638	103.114	12.571	31.286	31.286	39.584	8.298	655.4	724.4	354.8
1439514416.058	1.358	y	4831	353	343.988	103.660	12.631	31.211	31.211	39.512	8.301	653.5	724.1	352.9
1439514417.057	1.280	n	4831	353	346.011	104.348	12.665	31.127	31.127	39.430	8.303	651.0	723.8	351.8
1439514418.057	1.165	n	4831	353	347.563	104.843	12.676	31.069	31.069	39.371	8.302	649.3	723.5	351.5
1439514419.056	1.059	y	4831	353	348.457	105.278	12.746	31.006	31.006	39.308	8.302	647.4	723.3	349.2
1439514420.072	0.960	n	4831	353	350.809	106.014	12.756	30.923	30.923	39.227	8.304	645.1	723.0	348.8
