
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498444.0810003281 |          5 |         3702498371 | 3702498444.0810003281 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             561 |              67 |            183 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498445.2109999657 |          5 |         3702498372 | 3702498445.2109999657 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             411 |              65 |            206 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498446.3410000801 |          5 |         3702498373 | 3702498446.3410000801 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             479 |              64 |            177 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498451.9910001755 |          5 |         3702498378 | 3702498451.9910001755 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             493 |              64 |            182 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered |  3702498458.767999649 |          5 |         3702498385 |  3702498458.767999649 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             397 |              67 |            167 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498462.2030000687 |          5 |         3702498389 | 3702498462.2030000687 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             483 |              66 |            182 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498463.2869997025 |          5 |         3702498390 | 3702498463.2869997025 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             467 |              67 |            189 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498464.4169998169 |          5 |         3702498391 | 3702498464.4169998169 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             390 |              65 |            195 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498465.5460000038 |          5 |         3702498392 | 3702498465.5460000038 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             469 |              68 |            208 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498466.6760001183 |          5 |         3702498393 | 3702498466.6760001183 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             409 |              65 |            203 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498467.8059997559 |          5 |         3702498394 | 3702498467.8059997559 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             427 |              64 |            232 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3702412800 | telemetered | 3702498474.5840001106 |          5 |         3702498401 | 3702498474.5840001106 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               552 |             437 |              63 |            231 |        null

(35 rows)
