
 subsite  | node  | sensor       | bin        | method      | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-------------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622062628.2410001755 |          2 |         3622062621 | 3622062628.2410001755 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             458 |              75 |            398 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622066228.0339999199 |          2 |         3622066221 | 3622066228.0339999199 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             666 |              78 |            405 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622069825.5469999313 |          2 |         3622069819 | 3622069825.5469999313 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             517 |              77 |            422 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622073427.7220001221 |          2 |         3622073421 | 3622073427.7220001221 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             466 |              76 |            331 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622077027.0900001526 |          2 |         3622077020 | 3622077027.0900001526 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             448 |              74 |            356 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622080627.3350000381 |          2 |         3622080621 | 3622080627.3350000381 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             466 |              73 |            367 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622084226.5629997253 |          2 |         3622084220 | 3622084226.5629997253 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             454 |              74 |            314 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622087825.1529998779 |          2 |         3622087818 | 3622087825.1529998779 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             715 |              77 |            381 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622091426.4070000648 |          2 |         3622091420 | 3622091426.4070000648 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             827 |              78 |            452 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622095027.6779999733 |          2 |         3622095021 | 3622095027.6779999733 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             852 |              80 |            411 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622098626.9330000877 |          2 |         3622098620 | 3622098626.9330000877 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             897 |              79 |            428 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622102227.9720001221 |          2 |         3622102221 | 3622102227.9720001221 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             739 |              77 |            430 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622105829.9809999466 |          2 |         3622105823 | 3622105829.9809999466 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             874 |              78 |            405 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622109427.9739999771 |          2 |         3622109421 | 3622109427.9739999771 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |             746 |              77 |            402 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered |  3622113027.001999855 |          2 |         3622113020 |  3622113027.001999855 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            1242 |              82 |            391 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622116628.9779996872 |          2 |         3622116622 | 3622116628.9779996872 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            1204 |              84 |            386 |        null
 CE01ISSM | SBD17 | 06-FLORTD000 | 3622060800 | telemetered | 3622120227.8660001755 |          2 |         3622120221 | 3622120227.8660001755 |      port_timestamp |           ok |        null |                     null |                        null |                        null |                       null |              null |            1097 |              81 |            390 |        null
