
 subsite  | node  | sensor       | bin        | method    | time                  | deployment | internal_timestamp | port_timestamp        | preferred_timestamp | quality_flag | date_string | dcl_controller_timestamp | measurement_wavelength_beta | measurement_wavelength_cdom | measurement_wavelength_chl | raw_internal_temp | raw_signal_beta | raw_signal_cdom | raw_signal_chl | time_string
----------+-------+--------------+------------+-----------+-----------------------+------------+--------------------+-----------------------+---------------------+--------------+-------------+--------------------------+-----------------------------+-----------------------------+----------------------------+-------------------+-----------------+-----------------+----------------+-------------
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890451.2130002975 |          2 |         3661890234 | 3661890451.2130002975 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               551 |             201 |              65 |            133 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890452.3429999352 |          2 |         3661890235 | 3661890452.3429999352 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               551 |             198 |              65 |            133 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890453.4720001221 |          2 |         3661890237 | 3661890453.4720001221 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               551 |             200 |              67 |            129 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890454.6020002365 |          2 |         3661890238 | 3661890454.6020002365 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               551 |             233 |              66 |            129 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered |  3661890455.732000351 |          2 |         3661890239 |  3661890455.732000351 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               551 |             209 |              67 |            131 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered |  3661890456.861000061 |          2 |         3661890240 |  3661890456.861000061 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             263 |              66 |            128 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890457.9899997711 |          2 |         3661890241 | 3661890457.9899997711 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               551 |             201 |              68 |            125 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered |  3661890459.118999958 |          2 |         3661890242 |  3661890459.118999958 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             191 |              64 |            128 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered |  3661890460.248000145 |          2 |         3661890243 |  3661890460.248000145 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             232 |              67 |            128 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890461.3780002594 |          2 |         3661890244 | 3661890461.3780002594 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             213 |              67 |            131 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890462.5069999695 |          2 |         3661890246 | 3661890462.5069999695 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             224 |              69 |            128 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890463.6359996796 |          2 |         3661890247 | 3661890463.6359996796 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             211 |              68 |            131 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered |  3661890464.765999794 |          2 |         3661890248 |  3661890464.765999794 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             196 |              74 |            132 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890465.8940000534 |          2 |         3661890249 | 3661890465.8940000534 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             228 |              67 |            127 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890467.0240001678 |          2 |         3661890250 | 3661890467.0240001678 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             225 |              67 |            131 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890468.1540002823 |          2 |         3661890251 | 3661890468.1540002823 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             209 |              66 |            136 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890469.2829999924 |          2 |         3661890252 | 3661890469.2829999924 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             208 |              66 |            132 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890470.4130001068 |          2 |         3661890253 | 3661890470.4130001068 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             206 |              66 |            128 |        null
 CE02SHSM | RID27 | 02-FLORTD000 | 3661804800 | recovered | 3661890471.5419998169 |          2 |         3661890255 | 3661890471.5419998169 |      port_timestamp |           ok |        null |                     null |                         700 |                         460 |                        695 |               550 |             204 |              64 |            130 |        null
