Message Id[unsigned short|#],Timestamp[unsigned long|epoch],Latitude[double|�],Longitude[double|�],Depth[float|Meters],Raw Value[short|#],Oil Level[float|%],Mission Time[unsigned long|tod],Oil Location[unsigned char|^]
1075,62274,41.5543,-70.7050,0.09,252,50.67,62274878,0
1075,1419009485,41.5543,-70.7051,0.15,252,50.67,62285043,0
1075,1419009495,41.5543,-70.7051,-0.04,250,50.00,62295209,0
1075,1419009505,41.5543,-70.7051,0.01,250,50.00,62305373,0
1075,1419009515,41.5543,-70.7051,-0.06,268,56.00,62315538,0
1075,1419009525,41.5543,-70.7053,0.12,276,58.67,62325657,0
1075,1419009535,41.5543,-70.7055,3.12,280,60.00,62335824,0
1075,1419009545,41.5544,-70.7057,9.98,252,50.67,62345987,0
1075,1419009556,41.5544,-70.7059,9.20,276,58.67,62356152,0
1075,1419009566,41.5544,-70.7061,8.31,281,60.33,62366317,0
1075,1419009576,41.5544,-70.7063,9.15,282,60.67,62376482,0
1075,1419009586,41.5543,-70.7066,8.69,282,60.67,62386647,0
1075,1419009596,41.5543,-70.7068,8.98,283,61.00,62396812,0
1075,1419009606,41.5543,-70.7070,9.03,284,61.33,62406978,0
1075,1419009617,41.5543,-70.7072,8.89,284,61.33,62417142,0
1075,1419009627,41.5543,-70.7074,9.18,284,61.33,62427307,0
1075,1419009637,41.5544,-70.7077,9.03,284,61.33,62437472,0
1075,1419009647,41.5543,-70.7079,9.01,284,61.33,62447637,0
1075,1419009657,41.5543,-70.7081,9.29,285,61.67,62457802,0
1075,1419009667,41.5544,-70.7083,8.99,285,61.67,62467967,0
1075,1419009678,41.5543,-70.7085,9.11,287,62.33,62478132,0
