Message Id[unsigned short|#],Timestamp[unsigned long|epoch],Latitude[double|°],Longitude[double|°],Mission Time[unsigned long|tod],Depth[float|Meters],Conductivity[float|mS/cm],Temperature[float|°C],Salinity[float|PSS-78],Sound Speed[float|m/s],Dissolved Oxygen[float|ml/L],Powered[unsigned char|^]
1181,62275,41.5543,-70.7050,62275092,0.27,30.90,5.81,31.29,1469.29,0.00,1
1181,62276,41.5543,-70.7050,62276056,0.25,26.67,5.81,26.60,1463.37,0.00,1
1181,1419009477,41.5543,-70.7050,62277125,0.08,24.75,5.81,24.50,1460.72,0.00,1
1181,1419009478,41.5543,-70.7050,62278088,0.14,22.12,5.80,21.67,1457.15,0.00,1
1181,1419009479,41.5543,-70.7050,62279051,0.20,22.68,5.80,22.27,1457.91,0.00,1
1181,1419009480,41.5543,-70.7050,62280122,0.22,29.84,5.81,30.10,1467.78,0.00,1
1181,1419009481,41.5543,-70.7050,62281084,0.15,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009482,41.5543,-70.7051,62282049,0.03,30.90,5.81,31.30,1469.28,0.00,1
1181,1419009483,41.5543,-70.7051,62283118,0.15,28.04,5.80,28.11,1465.26,0.00,1
1181,1419009484,41.5543,-70.7051,62284081,0.26,30.91,5.80,31.30,1469.28,0.00,1
1181,1419009485,41.5543,-70.7051,62285043,0.27,30.91,5.80,31.30,1469.28,0.00,1
1181,1419009486,41.5543,-70.7051,62286114,0.26,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009487,41.5543,-70.7051,62287077,0.14,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009488,41.5543,-70.7051,62288040,0.11,30.91,5.81,31.29,1469.29,0.00,1
1181,1419009489,41.5543,-70.7051,62289109,0.31,30.91,5.80,31.30,1469.29,0.00,1
1181,1419009490,41.5543,-70.7051,62290073,0.29,30.91,5.80,31.30,1469.29,0.00,1
1181,1419009491,41.5543,-70.7051,62291035,0.24,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009492,41.5543,-70.7051,62292106,0.20,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009493,41.5543,-70.7051,62293069,0.06,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009494,41.5543,-70.7051,62294031,0.12,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009495,41.5543,-70.7051,62295102,0.23,30.91,5.81,31.30,1469.30,0.00,1
1181,1419009496,41.5543,-70.7051,62296065,0.09,30.91,5.81,31.30,1469.29,0.00,1
1181,1419009497,41.5543,-70.7051,62297134,0.06,30.91,5.81,31.29,1469.29,0.00,1
1181,1419009498,41.5543,-70.7051,62298098,0.25,30.91,5.81,31.30,1469.29,0.00,1
Message Id[unsigned short|#],Timestamp[unsigned long|epoch],Latitude[double|°],Longitude[double|°],Mission Time[unsigned long|tod],Depth[float|Meters],Sample Time[double|msecs],Nitrate Concentration[float|uMol/L],Nitrogen in Nitrage[float|mg/L],Spectral Average of Last Dark Frame[unsigned short|#],Spectrometer Temperature[float|°C],Lamp State[bool|^],Lamp Temperature[float|°C],Cumulative Lamp On-Time[unsigned long|secs],Relative Humidity[float|%],Input Voltage[float|V],Lamp Voltage[float|V],Internal Voltage[float|V],Main Current[float|mA]
1174,62275,41.5543,-70.7050,62275199,0.04,0.0000,0.00,0.00,0,6.80,false,12.50,413420,2.30,12.10,0.00,0.00,0.00
1174,1419009502,41.5543,-70.7051,62302912,0.06,2.0614,0.00,0.00,0,6.81,false,12.19,413420,2.20,12.11,0.10,4.98,51.06
1174,1419009506,41.5543,-70.7051,62306015,0.06,2.0620,5.01,0.07,539,6.81,false,12.13,413422,2.74,11.88,11.98,5.01,481.57
1174,1419009507,41.5543,-70.7051,62307192,0.08,2.0621,5.44,0.08,539,6.81,true,12.13,413423,2.64,11.88,11.99,4.99,491.39
1174,1419009508,41.5543,-70.7051,62308369,0.09,2.0621,5.16,0.07,539,6.81,true,12.13,413424,2.72,11.85,12.01,5.00,488.64
1174,1419009509,41.5543,-70.7051,62309653,0.07,2.0622,6.10,0.09,539,6.81,true,12.06,413425,2.76,11.86,11.99,5.00,488.48
1174,1419009510,41.5543,-70.7051,62310830,-0.05,2.0622,6.18,0.09,539,6.81,true,12.00,413427,2.92,11.88,12.00,5.02,486.90
1174,1419009512,41.5543,-70.7051,62312007,0.11,2.0622,5.66,0.08,539,6.81,true,12.00,413428,2.76,11.83,12.02,4.99,487.17
1174,1419009513,41.5543,-70.7051,62313185,-0.07,2.0623,5.47,0.08,539,6.88,true,11.94,413429,2.70,11.88,12.00,5.02,489.35
1174,1419009514,41.5543,-70.7051,62314468,-0.01,2.0623,4.20,0.06,539,6.88,true,11.94,413430,2.89,11.85,11.97,4.98,486.95
1174,1419009515,41.5543,-70.7051,62315752,-0.13,2.0624,5.57,0.08,539,6.88,true,11.81,413432,2.84,11.84,11.97,5.00,487.04
1174,1419009516,41.5543,-70.7052,62316929,0.10,2.0624,5.66,0.08,539,6.94,true,11.81,413433,2.87,11.86,12.01,4.99,487.98
1174,1419009518,41.5543,-70.7052,62318213,0.01,2.0624,5.61,0.08,539,6.94,true,11.75,413434,2.67,11.85,12.02,5.04,475.00
1174,1419009519,41.5543,-70.7052,62319390,-0.02,2.0625,6.00,0.08,539,6.94,true,11.75,413435,2.84,11.86,11.98,4.98,485.41
1174,1419009520,41.5543,-70.7052,62320567,0.05,2.0620,4.51,0.06,539,7.00,true,11.69,413436,2.79,11.86,12.01,5.00,475.59
1174,1419009521,41.5543,-70.7052,62321637,-0.05,2.0621,8.89,0.12,539,7.00,true,11.63,413438,2.77,11.84,11.97,5.01,476.23
1174,1419009522,41.5543,-70.7053,62322982,0.02,2.0621,5.10,0.07,539,7.06,true,11.56,413439,2.81,11.84,12.00,4.98,482.28
1174,1419009524,41.5543,-70.7053,62324159,-0.09,2.0622,5.94,0.08,539,7.06,true,11.56,413440,2.91,11.86,11.98,4.99,477.33
1174,1419009525,41.5543,-70.7053,62325336,0.06,2.0622,5.96,0.08,539,7.06,true,11.50,413441,2.79,11.87,12.00,5.00,484.98
1174,1419009526,41.5543,-70.7053,62326513,0.10,2.0623,6.48,0.09,539,7.06,true,11.50,413442,2.64,11.86,11.97,5.00,475.64
1174,1419009527,41.5543,-70.7053,62327797,0.08,2.0623,5.56,0.08,539,7.13,true,11.50,413444,2.81,11.87,12.01,4.99,484.84
