412815	694344	555127	18142	437434773
412945	694344	555129	18129	437434783
413725	694343	555131	18139	437434793
414106	694343	555131	18131	437434803
414496	694344	555129	18133	437434813
414648	694344	555130	18130	437434823
414832	694343	555130	18132	437434833
415140	694343	555126	18122	437434843
415317	694344	555133	18123	437434853
415507	694343	555130	18110	437434863
415721	694343	555128	18118	437434873
415910	694343	555128	18115	437434883
417920	694342	555123	18094	437435047
418039	694343	555129	18091	437435056
418102	694344	555125	18085	437435066
418149	694344	555129	18082	437435076
418279	694345	555129	18080	437435086
418344	694344	555130	18075	437435096
420077	694343	555124	18049	437435346
420149	694344	555128	18041	437435354
420262	694345	555131	18040	437435364
420359	694345	555128	18037	437435374
420487	694344	555131	18030	437435384
420608	694345	555131	18025	437435394
420690	694344	555128	18026	437435404
421918	694344	555136	17992	437435722
422037	694344	555136	17994	437435732
422022	694344	555132	17987	437435742
422029	694343	555135	17997	437435752
421996	694343	555136	17989	437435762
422028	694343	555138	17992	437435772
422100	694343	555136	17981	437435782
422209	694343	555136	17981	437435792
422245	694343	555134	17976	437435802
422341	694343	555138	17980	437435812
422398	694342	555136	17983	437435822
422410	694343	555135	17975	437435832
422503	694342	555135	17974	437435842
422520	694343	555138	17981	437435852
422541	694342	555138	17977	437435862
422538	694343	555139	17968	437435872
422567	694342	555137	17970	437435882
422588	694343	555140	17974	437435892
422529	694343	555137	17972	437435902
422483	694342	555135	17966	437435912
422474	694343	555135	17960	437435922
422494	694342	555135	17965	437435932
422546	694343	555136	17960	437435942
422580	694343	555135	17969	437435952
422548	694342	555134	17962	437435962
422627	694342	555134	17965	437435972
422673	694342	555136	17963	437435982
422762	694342	555137	17954	437435992
422791	694343	555134	17959	437436002
423200	694343	555127	17945	437436247
423155	694345	555133	17941	437436256
423209	694343	555130	17943	437436266
423161	694344	555133	17943	437436276
423137	694343	555133	17938	437436286
423099	694343	555132	17932	437436296
423404	694343	555128	17924	437436546
423412	694344	555128	17917	437436554
423396	694342	555131	17907	437436564
423395	694343	555134	17912	437436574
423416	694343	555132	17918	437436584
423438	694344	555132	17918	437436594
423447	694343	555134	17915	437436604
423369	694343	555127	17911	437436845
423370	694344	555130	17908	437436854
423400	694343	555136	17906	437436864
423407	694344	555138	17906	437436874
423412	694344	555135	17904	437436884
423428	694344	555136	17902	437436894
423432	694343	555138	17901	437436904
424459	694343	555133	17888	437437221
424491	694343	555132	17892	437437231
424541	694343	555132	17879	437437241
424566	694343	555133	17889	437437251
424591	694342	555133	17884	437437261
424614	694343	555134	17889	437437271
424645	694343	555131	17890	437437281
424731	694343	555129	17885	437437291
424735	694343	555131	17874	437437301
424763	694343	555133	17887	437437311
424890	694343	555131	17891	437437321
425013	694343	555127	17877	437437331
425054	694343	555129	17884	437437341
425060	694343	555128	17881	437437351
425075	694343	555130	17881	437437361
425087	694342	555130	17879	437437371
425110	694343	555127	17880	437437381
425131	694344	555129	17881	437437391
425156	694343	555130	17882	437437401
425182	694343	555128	17879	437437411
425212	694343	555125	17877	437437421
425243	694343	555129	17877	437437431
425279	694343	555127	17875	437437441
425312	694343	555127	17881	437437451
425346	694343	555126	17881	437437461
425380	694343	555131	17877	437437471
